female,male,site,block,height,volume,rust,stemform
422,0,101,7,26.5,1.4936714172,0,2
422,0,101,11,25,1.1634187698,0,1
422,0,101,5,22,0.9074687958,0,5
422,0,101,16,24.5,0.9639935493,0,2
422,0,101,12,27.5,1.5487651825,0,4
422,0,101,4,21.5,1.0052595139,0,4
422,0,101,2,24,1.2580318451,0,3
422,0,101,3,21,0.8310956955,0,5
422,0,101,13,18.5,0.5039510727,0,3
422,0,101,19,25.5,1.2840385437,0,4
422,0,101,9,23,1.2070178986,0,2
422,0,101,17,27,1.3051614761,0,4
422,0,101,18,19,0.8922886848,0,4
422,0,101,14,26,1.1601629257,0,2
422,0,101,20,20,0.6930990219,0,5
422,0,101,10,24,1.2104892731,0,2
422,0,101,15,22,0.6567754745,0,2
422,0,101,8,27,1.4110717773,0,4
422,0,101,6,24,1.1638889313,1,3
422,0,101,1,25.5,1.6021223068,0,1
425,0,101,9,23.5,0.9670433998,0,2
425,0,101,19,22,0.6900000572,0,4
425,0,101,11,23,0.9882354736,0,3
425,0,101,2,25,0.9403204918,0,2
425,0,101,8,21,0.5674972534,0,5
425,0,101,15,22.5,0.8880519867,0,3
425,0,101,18,24.5,1.1408243179,0,3
425,0,101,5,22,0.3965895176,0,6
425,0,101,20,22,0.6900000572,0,3
425,0,101,16,20.5,0.8478941917,0,5
425,0,101,10,15,0.1513879299,0,5
425,0,101,17,24.5,1.0067596436,0,5
425,0,101,6,21.5,0.7775526047,0,4
425,0,101,4,19.5,0.4012477398,0,4
425,0,101,7,26,1.2580709457,0,4
425,0,101,14,20,0.600133419,0,3
425,0,101,13,27.5,1.7860822678,0,3
425,0,101,3,16,0.2976224422,0,4
425,0,101,12,19,0.3471059799,0,3
425,0,101,1,19.5,0.377918005,0,4
426,0,101,16,27,1.3575868607,0,4
426,0,101,15,22,0.6900000572,1,4
426,0,101,9,12.5,0.2543561459,0,6
426,0,101,20,27.5,1.7860822678,0,5
426,0,101,18,22.5,0.8496594429,0,4
426,0,101,11,25.5,1.8341827393,0,1
426,0,101,4,26,1.2580709457,0,4
426,0,101,14,25,1.0712375641,0,4
426,0,101,17,27,1.2537946701,0,2
426,0,101,1,29,2.0813064575,0,4
426,0,101,6,28.5,1.7245950699,0,2
426,0,101,7,27.5,1.6064758301,0,3
426,0,101,13,28,2.144695282,0,4
426,0,101,19,22.5,0.9674844742,0,3
426,0,101,12,28,1.9453496933,0,4
426,0,101,5,26.5,1.549284935,0,1
426,0,101,8,25.5,1.4920930862,0,5
427,0,101,17,28,2.0771484375,0,4
427,0,101,16,26,1.3085546494,0,3
427,0,101,20,24.5,0.922188282,0,3
427,0,101,1,27,1.3575868607,0,2
427,0,101,3,24.5,1.0504865646,0,4
427,0,101,7,27.5,1.6064758301,0,4
427,0,101,9,26,1.4661254883,0,3
427,0,101,8,26.5,1.2816162109,0,3
427,0,101,2,24.5,1.0067596436,0,6
