site,block,female,male,height,rust,volume
1,3,C10067,0,14.9,1,24.67
1,3,C10068,0,17.2,1,35.79
1,3,C10070,0,16,0,35.5
1,3,C10071,0,15.5,0,28.94
1,3,C10072,0,13.3,0,16
1,3,C10073,0,14.5,1,15.91
1,3,C10074,0,14.7,0,21.39
1,4,C1001,0,15.4,0,30.55
1,4,C1002,0,16.3,0,26.68
1,4,C1003,0,16.2,0,31.97
1,4,C1004,0,17.7,1,32.57
1,4,C1005,0,18,0,39.52
1,4,C1006,0,17,0,37.51
1,4,C1007,0,15.5,0,27.2
1,4,C1008,0,15,1,21.76
1,4,C1009,0,17,0,27.68
1,4,C10010,0,14.5,0,18.41
1,4,C10011,0,16.3,0,42.53
1,4,C10012,0,15.5,0,20.88
1,4,C10013,0,14.3,0,18.21
1,4,C10014,0,14.9,0,20.2
1,4,C10015,0,13,1,15.71
1,4,C10016,0,12.2,0,12.94
1,4,C10017,0,14.9,0,31.45
1,4,C10018,0,14.4,0,18.31
1,4,C10020,0,17.6,0,28.54
1,4,C10021,0,16,0,33.53
1,4,C10022,0,14.2,0,23.67
1,4,C10023,0,13.2,1,14.79
1,4,C10024,0,12.1,0,11.06
1,4,C10025,0,15.7,0,32.96
1,4,C10026,0,14.1,0,19.3
1,4,C10027,0,15.2,1,28.44
1,4,C10028,0,13.9,0,14.28
1,4,C10029,0,17.2,1,35.79
1,4,C10030,0,16.5,0,32.5
1,4,C10031,0,13,0,18.06
1,4,C10032,0,12.6,0,20.08
1,4,C10033,0,12.2,1,12.01
1,4,C10034,0,12.4,0,12.15
1,4,C10035,0,15,0,26.44
1,4,C10036,0,15,1,24.82
1,4,C10037,0,16.7,1,25.51
1,4,C10038,0,16.9,0,35.22
1,4,C10039,0,14.5,0,19.75
1,4,C10040,0,17.4,0,32.07
1,4,C10041,0,14,0,21.93
1,4,C10042,0,13,0,15.71
1,4,C10043,0,15,0,24.82
1,4,C10044,0,15,1,23.26
1,4,C10045,0,14.6,0,21.27
1,4,C10046,0,17.3,1,33.91
1,4,C10047,0,15.8,0,27.67
1,4,C10048,0,16.5,0,28.74
1,4,C10756,0,16.5,0,26.96
1,4,C17100,0,16.1,0,18.65
1,4,C10049,0,16.1,0,29.93
1,4,C10050,0,16,1,24.58
1,4,C10051,0,14.1,0,16.76
1,4,C10052,0,10.4,1,8.59
1,4,C10053,0,13.8,1,21.67
1,4,C10054,0,15,0,29.85
1,4,C10056,0,14.8,1,24.53
1,4,C10057,0,13.8,1,23.1
1,4,C10058,0,14.8,0,21.51
1,4,C10059,0,12.8,1,14.44
1,4,C10060,0,15.6,0,25.68
1,4,c10061,0,16.5,0,28.74
1,4,C10062,0,16,0,37.54
1,4,C10063,0,16.6,0,34.66
1,4,C10064,0,13.9,1,16.57
1,4,C10065,0,13.9,0,14.28
1,4,C10066,0,14.9,0,20.2
1,4,C10067,0,13.4,0,16.09
1,4,C10068,0,13.1,1,13.65
1,4,C10069,0,16.3,0,30.26
1,4,C10070,0,15.6,1,24.05
1,4,C10071,0,15,0,18.93
1,4,C10073,0,12.6,0,12.29
1,4,C10074,0,17.5,1,34.26
1,5,C1001,0,14.5,0,25.67
1,5,C1002,0,13.2,1,19.55
1,5,C1003,0,14.7,0,32.89
1,5,C1004,0,15.8,0,24.32
1,5,C1005,0,17.6,0,34.44
1,5,C1006,0,15.9,1,37.33
1,5,C1007,0,15.5,0,30.73
1,5,C1008,0,17.7,0,36.73
1,5,C1009,0,15.5,1,40.61
1,5,C10010,0,16,1,26.25
1,5,C10011,0,13.6,0,15.13
1,5,C10012,0,16.5,0,32.5
1,5,C10013,0,14.7,1,17.33
1,5,C10014,0,15,0,28.11
1,5,C10015,0,15,1,18.93
1,5,C10016,0,13,0,23.36
1,5,C10017,0,16,0,22.98
1,5,C10018,0,15,0,26.44
1,5,C10021,0,13.5,1,15.05
1,5,C10022,0,15,0,24.82
1,5,C10023,0,15.4,0,27.05
1,5,C10024,0,15.4,0,27.05
1,5,C10025,0,14.9,1,26.28
1,5,C10026,0,15.2,1,22
1,5,C10027,0,13.1,0,24.98
1,5,C10028,0,15.2,0,26.74
1,5,C10029,0,15.6,0,34.7
1,5,C10030,0,15.4,0,23.79
1,5,C10031,0,14,0,20.53
1,5,C10032,0,14.6,1,22.73
1,5,C10033,0,13.8,0,17.69
1,5,C10034,0,13.9,1,17.79
1,5,C10035,0,13.2,0,22.24
1,5,C10036,0,14.5,1,21.15
1,5,C10037,0,16.5,0,23.6
1,5,C10038,0,14,1,19.19
1,5,C10039,0,16.5,0,34.47
1,5,C10040,0,15.9,1,26.1
1,5,C10041,0,16.5,0,40.78
1,5,C10042,0,16.5,1,30.59
1,5,C10043,0,13.9,0,26.3
1,5,C10044,0,14.4,1,19.64
1,5,C10045,0,19.2,0,44.38
1,5,C10046,0,13.8,0,20.29
1,5,C10047,0,14.7,0,22.86
1,5,C10048,0,13.5,0,24.13
1,5,C10756,0,16.8,0,33.03
1,5,C17100,0,15.5,1,20.88
1,5,C10049,0,19,1,39.18
1,5,C10050,0,16.1,1,28.13
1,5,C10051,0,13.5,0,18.62
1,5,C10052,0,14,0,21.93
1,5,C10053,0,16,0,33.53
1,5,C10054,0,13.5,1,18.62
1,5,C10055,0,14,0,29.76
1,5,C10056,0,14.6,0,18.52
1,5,C10057,0,13.5,1,16.19
1,5,C10058,0,15,1,18.93
1,5,C10059,0,14.8,0,24.53
1,5,C10060,0,11.3,1,10.55
1,5,c10061,0,16.8,0,35.04
1,5,C10062,0,14.5,1,24.1
1,5,C10063,0,17,0,29.51
1,5,C10064,0,14,1,15.48
1,5,C10065,0,15.1,0,26.59
1,5,C10066,0,13,1,12.58
1,5,C10067,0,17.1,0,39.89
1,5,C10068,0,16.3,0,38.19
1,5,C10070,0,16.5,1,22.01
1,5,C10071,0,13.4,0,22.53
1,5,C10072,0,16.2,1,35.91
1,5,C10073,0,17.6,0,38.72
1,5,C10074,0,16.5,0,32.5
1,6,C1001,0,15.2,0,20.54
1,6,C1002,0,14,0,20.53
1,6,C1003,0,14.5,0,27.29
1,6,C1004,0,14.4,0,17.04
1,6,C1006,0,15.9,1,31.44
1,6,C1007,0,12.8,1,14.44
1,6,C1008,0,14.4,0,19.64
1,6,C1009,0,14.5,0,21.15
1,6,C10010,0,13.8,1,18.96
1,6,C10011,0,13,0,19.31
1,6,C10012,0,14.5,0,21.15
1,6,C10013,0,17,0,33.38
1,6,C10014,0,17,1,25.91
1,6,C10015,0,14.5,1,25.67
1,6,C10016,0,14.4,1,27.12
1,6,C10017,0,12.9,0,17.94
1,6,C10018,0,17,0,29.51
1,6,C10020,0,17,0,31.41
1,6,C10021,0,14,0,28.08
1,6,C10022,0,16.8,0,33.03
1,6,C10023,0,11.5,0,13.32
1,6,C10024,0,12.5,1,19.94
1,6,C10025,0,12.5,0,16.34
1,6,C10026,0,13.5,0,27.2
1,6,C10027,0,15,1,39.41
1,6,C10028,0,14.6,1,19.86
1,6,C10029,0,13.5,0,12.93
1,6,C10030,0,15.9,0,29.6
1,6,C10031,0,14,0,21.93
1,6,C10032,0,16,1,31.61
1,6,C10033,0,11,1,12.89
1,6,C10034,0,11.7,0,17.71
1,6,C10035,0,16.5,0,32.5
1,6,C10036,0,13.3,1,18.4
1,6,C10037,0,16.5,1,38.61
1,6,C10038,0,16,0,37.54
1,6,C10039,0,14.2,1,18.1
1,6,C10040,0,16.5,0,32.5
1,6,C10041,0,15.9,0,31.44
1,6,C10042,0,14.2,0,28.44
1,6,C10043,0,12.5,0,19.94
1,6,C10044,0,15.6,1,24.05
1,6,C10045,0,15.5,1,22.37
1,6,C10046,0,13.9,1,15.39
1,6,C10047,0,17.5,1,34.26
