TREE,FEMALE,MALE
3K42,649,634
3K43,649,634
3K44,649,634
3K45,649,634
3K46,649,634
3L41,649,652
3L42,649,652
3L43,649,652
3M41,652,626
3M42,652,626
3M44,652,626
3M45,652,626
3M46,652,626
3N41,652,634
3N42,652,634
3N43,652,634
3N45,652,634
3A51,590,626
3A52,590,626
3A53,590,626
3A54,590,626
3A55,590,626
3A56,590,626
3B51,590,634
3B53,590,634
3B55,590,634
3B56,590,634
3C51,590,652
3C52,590,652
3C53,590,652
3C54,590,652
3C55,590,652
3D51,612,590
3D53,612,590
3D54,612,590
3D55,612,590
3D56,612,590
3E51,612,634
3E52,612,634
3E53,612,634
3E54,612,634
3E55,612,634
3E56,612,634
3F56,612,652
3G51,626,634
3G52,626,634
3G53,626,634
3G54,626,634
3G55,626,634
3G56,626,634
3H51,649,590
3H52,649,590
3H53,649,590
3H54,649,590
3H55,649,590
3H56,649,590
3I51,649,612
3I52,649,612
3I53,649,612
3I54,649,612
3I55,649,612
3I56,649,612
3J52,649,626
3J53,649,626
3J55,649,626
3J56,649,626
3K51,649,634
3K52,649,634
3K53,649,634
3K54,649,634
3K55,649,634
3K56,649,634
3L51,649,652
3L52,649,652
3L53,649,652
3L54,649,652
3L55,649,652
3L56,649,652
3M51,652,626
3M52,652,626
3M53,652,626
3M54,652,626
3M55,652,626
3M56,652,626
3N51,652,634
3N52,652,634
3N54,652,634
3N55,652,634
3A61,590,626
3A62,590,626
3A63,590,626
3A64,590,626
3A65,590,626
3A66,590,626
3B61,590,634
3B62,590,634
3B63,590,634
3B64,590,634
3B65,590,634
3B66,590,634
3C61,590,652
3C62,590,652
3C63,590,652
3C64,590,652
3C65,590,652
3C66,590,652
3D61,612,590
3D63,612,590
3D64,612,590
3D65,612,590
3D66,612,590
3E61,612,634
3E63,612,634
3E64,612,634
3E65,612,634
3E66,612,634
3F63,612,652
3F66,612,652
3G61,626,634
3G63,626,634
3G64,626,634
3G65,626,634
3G66,626,634
3H61,649,590
3H62,649,590
3H63,649,590
3H64,649,590
3H65,649,590
3H66,649,590
3I61,649,612
3I62,649,612
3I63,649,612
3I64,649,612
3I65,649,612
3I66,649,612
3J61,649,626
3J62,649,626
3J63,649,626
3J64,649,626
3J65,649,626
3J66,649,626
3K61,649,634
3K62,649,634
3K63,649,634
3K64,649,634
3K65,649,634
3K66,649,634
3L61,649,652
3L62,649,652
3L63,649,652
3L65,649,652
3L66,649,652
3M61,652,626
3M62,652,626
3M63,652,626
3M64,652,626
3M65,652,626
3M66,652,626
3N62,652,634
3N64,652,634
3N65,652,634
4A11,590,626
4A12,590,626
4A13,590,626
4A14,590,626
4A15,590,626
4A16,590,626
4B11,590,634
4B12,590,634
4B14,590,634
4B15,590,634
4B16,590,634
4C11,590,652
4C12,590,652
4C13,590,652
4C14,590,652
4C15,590,652
4C16,590,652
4D11,612,590
4D12,612,590
4D13,612,590
4D14,612,590
4E11,612,634
4E12,612,634
4E13,612,634
4E14,612,634
4E15,612,634
4F12,612,652
4F15,612,652
4G11,626,634
4G12,626,634
4G14,626,634
4G15,626,634
4G16,626,634
4H11,649,590
4H13,649,590
4H15,649,590
4I11,649,612
4I12,649,612
4I13,649,612
4I14,649,612
4I15,649,612
4I16,649,612
4J11,649,626
4J12,649,626
4J13,649,626
4J14,649,626
4J15,649,626
4J16,649,626
4K11,649,634
4K12,649,634
4K13,649,634
4K14,649,634
4K15,649,634
4K16,649,634
4L11,649,652
4L13,649,652
4L14,649,652
4L15,649,652
4L16,649,652
4M11,652,626
4M12,652,626
4M13,652,626
4M14,652,626
4M15,652,626
4M16,652,626
4N14,652,634
4N15,652,634
4N16,652,634
4A21,590,626
4A22,590,626
4A23,590,626
4A24,590,626
4A25,590,626
4A26,590,626
4B21,590,634
4B22,590,634
4B24,590,634
4B25,590,634
4C21,590,652
4C22,590,652
4C23,590,652
4C24,590,652
4C25,590,652
4C26,590,652
4D21,612,590
4D22,612,590
4D23,612,590
4D24,612,590
4E21,612,634
4E22,612,634
4E23,612,634
4E24,612,634
4E25,612,634
4E26,612,634
4F23,612,652
4F24,612,652
4F25,612,652
4G21,626,634
4G22,626,634
4G23,626,634
4G24,626,634
4G26,626,634
4H21,649,590
