pig	sire	dam
787	24	51
788	24	51
789	24	51
790	24	51
791	31	52
792	31	52
793	31	52
794	18	53
795	18	53
796	18	53
797	18	53
798	18	53
799	18	53
800	2	54
801	2	54
802	10	55
803	10	55
804	10	55
805	10	55
806	57	56
807	57	56
808	59	58
809	59	58
810	59	58
811	59	58
812	59	58
813	59	58
814	59	58
815	35	60
816	35	60
817	35	60
818	35	60
819	35	60
820	35	60
821	14	61
822	14	61
823	14	61
824	14	61
825	14	61
826	14	61
827	63	62
828	63	62
829	63	62
830	65	64
831	65	64
832	65	64
833	65	64
834	65	64
835	65	66
836	65	66
837	65	66
838	65	66
839	65	66
840	16	67
841	16	67
842	16	67
843	16	67
844	16	67
845	69	68
846	69	68
847	41	70
848	41	70
849	41	70
850	41	70
851	26	71
852	26	71
853	26	71
854	26	71
855	4	72
856	4	72
857	4	72
858	4	72
859	4	72
860	57	73
861	75	74
862	75	74
863	75	76
864	75	76
865	6	77
866	6	77
867	6	77
868	29	78
869	29	78
870	29	78
871	29	78
872	22	79
873	22	79
874	22	79
875	22	79
876	69	80
877	69	80
878	69	80
879	69	80
880	69	80
881	63	81
882	63	81
883	63	81
884	63	81
885	63	81
886	65	82
887	65	82
888	65	82
889	65	82
890	4	83
891	4	83
892	4	83
893	4	83
894	4	83
895	4	83
896	20	84
897	20	84
898	20	84
899	20	84
900	57	85
901	57	85
902	57	85
903	57	85
904	20	86
905	20	86
906	20	86
907	20	86
908	20	86
909	10	87
910	10	87
911	12	88
912	12	88
913	12	88
914	12	88
915	12	88
916	12	88
917	12	88
918	75	89
919	24	91
920	24	91
921	24	91
922	24	91
923	24	91
924	24	91
925	35	92
926	35	92
927	31	93
928	31	93
929	31	93
930	31	93
931	31	93
932	12	94
933	12	94
934	12	94
935	12	94
936	12	94
937	12	94
938	44	95
939	44	95
940	44	95
941	44	95
942	16	96
943	16	96
944	63	97
945	63	97
946	63	97
947	63	97
948	63	97
949	63	97
950	63	97
951	29	98
952	14	99
953	14	99
954	14	99
955	44	100
956	44	100
957	44	100
958	44	100
959	44	100
960	37	101
961	37	101
962	37	101
963	37	101
964	37	101
965	6	102
966	6	102
967	6	102
968	6	102
969	6	102
970	6	102
971	6	102
972	2	103
973	2	103
974	44	104
975	44	104
976	44	104
977	44	104
978	44	104
979	69	105
980	69	105
981	69	105
982	69	105
983	57	106
984	57	106
985	57	106
986	41	107
987	41	107
988	41	107
989	41	107
990	50	108
991	50	108
992	50	108
993	31	109
994	31	109
995	31	109
996	31	109
997	22	110
998	22	110
999	31	111
1000	31	111
1001	31	111
1002	31	111
1003	33	112
1004	33	112
1005	33	112
1006	33	112
1007	116	115
1008	116	115
1009	116	115
1010	116	115
1011	116	115
1012	116	115
1013	116	115
1014	116	115
1015	118	117
1016	120	119
1017	120	119
1018	120	119
1019	122	121
1020	122	121
1021	122	121
1022	122	121
1023	122	121
1024	122	121
1025	124	123
1026	124	123
1027	124	123
1028	126	125
1029	126	125
1030	126	125
1031	126	125
1032	126	125
1033	126	125
1034	128	127
1035	128	127
1036	128	127
1037	128	127
1038	128	127
1039	130	129
1040	130	129
1041	130	129
1042	130	129
1043	132	131
1044	132	131
1045	132	131
1046	132	131
1047	132	131
1048	132	131
1049	134	133
1050	134	133
1051	136	135
1052	136	135
1053	136	135
1054	136	135
1055	136	135
1056	138	137
1057	138	137
1058	138	137
1059	138	137
1060	140	139
1061	140	139
1062	140	139
1063	140	139
1064	142	141
1065	142	141
1066	142	141
1067	142	141
1068	142	141
1069	142	141
1070	144	143
1071	144	143
1072	144	143
1073	144	143
1074	122	145
1075	122	145
1076	122	145
1077	122	145
1078	122	145
1079	134	146
1080	134	146
1081	134	146
1082	134	146
1083	148	147
1084	148	147
1085	148	147
1086	148	147
1087	148	147
1088	148	147
1089	148	147
1090	150	149
1091	150	149
1092	150	151
1093	126	152
1094	126	152
1095	126	152
1096	126	152
1097	126	152
1098	154	153
1099	154	153
1100	154	153
1101	154	153
1102	154	153
1103	156	155
1104	156	155
1105	156	155
1106	156	155
1107	156	155
1108	156	155
1109	116	157
1110	116	157
1111	116	157
1112	159	158
1113	161	160
1114	161	160
1115	161	160
1116	161	160
1117	161	160
1118	142	162
1119	142	162
1120	142	162
1121	142	162
1122	142	162
1123	142	162
1124	148	163
1125	148	163
1126	148	163
1127	148	163
1128	148	163
1129	148	163
1130	165	164
1131	165	164
1132	165	164
1133	165	164
1134	136	166
1135	136	166
1136	136	166
1137	136	166
1138	136	166
1139	136	166
1140	136	166
1141	138	167
1142	138	167
1143	138	167
1144	138	167
1145	138	167
1146	138	167
1147	144	168
1148	114	169
1149	114	169
1150	114	169
1151	114	169
1152	114	169
1153	161	170
1154	161	170
1155	161	170
1156	161	170
1157	165	171
1158	165	171
1159	165	171
1160	165	171
1161	165	171
1162	173	172
1163	173	172
1164	136	174
1165	136	174
1166	136	174
1167	159	175
1168	159	175
1169	159	175
1170	159	175
1171	120	176
1172	120	176
1173	120	176
1174	120	176
1175	178	177
1176	178	177
1177	161	179
1178	161	179
1179	161	179
1180	161	179
1181	161	179
1182	140	181
1183	140	181
1184	140	181
1185	140	181
1186	124	182
1187	124	182
1188	124	182
1189	124	182
1190	124	182
1191	134	183
1192	134	183
1193	128	184
1194	128	184
1195	128	184
1196	128	184
1197	128	184
1198	128	184
1199	128	184
1200	128	184
1201	128	184
1202	128	185
1203	128	185
1204	128	185
1205	128	185
1206	128	185
1207	128	185
1208	154	186
1209	154	186
1210	154	186
1211	154	186
1212	156	187
1213	156	187
1214	156	187
1215	156	187
1216	156	187
1217	130	188
1218	130	188
1219	130	188
1220	130	188
1221	130	188
1222	130	188
1223	130	188
1224	130	188
1225	130	188
1226	132	189
1227	132	189
1228	191	190
1229	191	190
1230	191	190
1231	191	190
1232	191	190
1233	116	192
1234	116	192
1235	116	192
1236	116	192
1237	114	193
1238	114	193
1239	120	194
1240	120	194
1241	120	194
1242	132	195
1243	132	195
1244	132	195
1245	165	196
1246	165	196
1247	165	196
1248	165	196
1249	198	197
1250	198	197
1251	200	199
1252	200	199
1253	202	201
1254	202	201
1255	202	201
1256	202	201
1257	202	201
1258	204	203
1259	204	203
1260	204	203
1261	206	205
1262	206	205
1263	206	205
1264	206	205
1265	208	207
1266	208	207
1267	208	207
1268	208	207
1269	210	209
1270	210	209
1271	210	209
1272	212	211
1273	212	211
1274	214	213
1275	214	213
1276	214	213
1277	214	213
1278	214	213
1279	214	213
1280	216	215
1281	216	215
1282	216	215
1283	218	217
1284	218	217
1285	218	217
1286	220	219
1287	220	219
1288	220	219
1289	222	221
1290	222	221
1291	222	221
1292	222	221
1293	224	223
1294	224	223
1295	224	223
1296	224	223
1297	224	223
1298	224	223
1299	226	225
1300	226	225
1301	226	225
1302	226	225
1303	226	225
1304	228	227
1305	228	227
1306	228	227
1307	228	227
1308	230	229
1309	230	229
1310	230	229
1311	230	229
1312	232	231
1313	232	231
1314	232	231
1315	234	233
1316	234	233
1317	234	233
1318	234	233
1319	234	233
1320	234	233
1321	236	235
1322	236	235
1323	236	235
1324	214	237
1325	214	237
1326	214	237
1327	228	238
1328	228	238
1329	210	239
1330	210	239
1331	210	239
1332	210	239
1333	206	240
1334	206	240
1335	206	240
1336	204	241
1337	224	242
1338	224	242
1339	224	242
1340	224	242
1341	224	242
1342	208	243
1343	208	243
1344	208	243
1345	222	244
1346	222	244
1347	222	244
1348	222	244
1349	200	245
1350	200	245
1351	200	245
1352	200	245
1353	247	246
1354	247	246
1355	247	246
1356	247	246
1357	247	246
1358	247	246
1359	210	248
1360	210	248
1361	198	249
1362	198	249
1363	236	250
1364	252	251
1365	252	251
1366	252	251
1367	204	253
1368	218	254
1369	218	254
1370	218	254
1371	218	254
1372	216	255
1373	216	255
1374	216	255
1375	200	256
1376	200	256
1377	206	257
1378	259	258
1379	259	258
1380	259	258
1381	259	258
1382	259	258
1383	259	258
1384	259	258
1385	259	258
1386	234	260
1387	234	260
1388	234	260
1389	234	260
1390	232	261
1391	232	261
1392	232	261
1393	232	261
1394	232	261
1395	232	261
1396	212	262
1397	212	262
1398	212	262
1399	212	262
1400	212	262
1401	202	263
1402	202	263
1403	202	263
1404	202	263
1405	202	263
1406	202	263
1407	265	264
1408	265	264
1409	265	264
1410	265	264
1411	265	264
1412	265	264
1413	232	266
1414	232	266
1415	220	267
1416	220	267
1417	220	267
1418	220	267
1419	226	268
1420	226	268
1421	226	268
1422	226	268
1423	224	269
1424	224	269
1425	224	269
1426	224	269
1427	224	269
1428	216	270
1429	216	270
1430	216	270
1431	216	270
1432	216	270
1433	216	270
1434	234	271
1435	234	271
1436	234	271
1437	234	271
1438	208	272
1439	208	272
1440	208	272
1441	208	272
1442	208	273
1443	208	273
1444	208	273
1445	208	273
1446	208	273
1447	275	274
1448	275	274
1449	275	274
1450	275	274
1451	275	274
1452	198	276
1453	198	276
1454	198	276
1455	198	276
1456	198	276
1457	198	276
1458	198	276
1459	222	277
1460	222	277
1461	222	277
1462	222	277
1463	220	278
1464	220	278
1465	220	278
1466	220	278
1467	220	278
1468	218	279
1469	218	279
1470	218	279
1471	218	279
1472	247	280
1473	247	280
1474	247	280
1475	247	280
1476	247	280
1477	247	280
1478	265	281
1479	265	281
1480	265	281
1481	265	281
1482	265	281
1483	214	282
1484	214	282
1485	214	282
1486	214	282
1487	214	282
1488	252	284
1489	252	284
1490	202	285
1491	202	285
1492	202	285
1493	202	285
1494	202	285
1495	202	285
1496	202	285
1497	200	286
1498	200	286
1499	200	286
1500	200	286
1501	200	286
1502	226	287
1503	226	287
1504	226	287
1505	226	287
1506	206	288
1507	206	288
1508	206	288
1509	206	288
1510	206	288
1511	206	288
1512	206	288
1513	214	289
1514	214	289
1515	214	289
1516	214	289
1517	216	290
1518	216	290
1519	259	291
1520	259	291
1521	259	291
1522	259	291
1523	259	291
1524	259	291
1525	259	291
1526	228	292
1527	228	292
1528	247	293
1529	247	293
1530	247	293
1531	236	294
1532	275	295
1533	275	295
1534	275	295
1535	275	295
1536	232	296
1537	232	296
1538	232	296
1539	228	297
1540	228	297
1541	228	297
1542	222	298
1543	222	298
1544	222	298
1545	212	299
1546	212	299
1547	212	299
1548	212	299
1549	234	300
1550	234	300
1551	234	300
1552	202	301
1553	202	301
1554	202	301
1555	202	301
1556	202	301
1557	265	302
1558	265	302
1559	265	302
1560	265	302
1561	252	303
1562	252	303
1563	252	303
1564	252	303
1565	252	303
1566	220	304
1567	220	304
1568	220	304
1569	220	304
1570	226	305
1571	226	305
1572	226	305
1573	204	306
1574	204	306
1575	204	306
1576	224	307
1577	224	307
1578	224	307
1579	224	307
1580	224	307
1581	214	308
1582	214	308
1583	214	308
1584	214	308
1585	214	308
1586	214	308
1587	214	308
1588	216	309
1589	216	309
1590	216	309
1591	311	310
1592	313	312
1593	313	312
1594	313	312
1595	313	312
1596	313	312
1597	313	312
1598	313	312
1599	315	314
1600	315	314
1601	315	314
1602	315	316
1603	315	316
1604	315	316
1605	315	316
1606	315	316
1607	315	316
1608	315	316
1609	315	316
1610	318	317
1611	318	317
1612	318	317
1613	318	317
1614	318	317
1615	318	317
1616	320	319
1617	320	319
1618	320	319
1619	320	319
1620	322	321
1621	322	321
1622	322	321
1623	322	321
1624	324	323
1625	324	323
1626	324	323
1627	326	325
1628	328	327
1629	328	327
1630	328	327
1631	328	327
1632	330	329
1633	330	329
1634	332	331
1635	332	331
1636	332	331
1637	332	331
1638	332	331
1639	334	333
1640	334	333
1641	334	333
1642	334	333
1643	334	333
1644	334	333
1645	334	333
1646	334	333
1647	313	335
1648	313	335
1649	313	335
1650	313	335
1651	313	335
1652	313	335
1653	313	335
1654	337	336
1655	337	336
1656	339	338
1657	339	338
1658	339	338
1659	339	338
1660	339	338
1661	339	338
1662	332	340
1663	332	340
1664	332	340
1665	332	340
1666	332	340
1667	332	340
1668	342	341
1669	342	341
1670	342	341
1671	342	341
1672	344	343
1673	344	343
1674	346	345
1675	346	345
1676	346	345
1677	337	347
1678	337	347
1679	337	347
1680	330	348
1681	330	348
1682	330	348
1683	330	348
1684	330	348
1685	330	348
1686	322	349
1687	322	349
1688	322	349
1689	322	349
1690	351	350
1691	351	350
1692	351	350
1693	351	350
1694	351	350
1695	351	350
1696	351	350
1697	324	352
1698	324	352
1699	324	352
1700	324	352
1701	324	352
1702	324	352
1703	320	353
1704	320	353
1705	320	353
1706	320	353
1707	320	353
1708	320	353
1709	320	353
1710	355	354
1711	355	354
1712	355	354
1713	355	354
1714	355	354
1715	355	354
1716	344	356
1717	344	356
1718	344	356
1719	344	356
1720	344	356
1721	344	356
1722	344	356
1723	358	357
1724	358	357
1725	358	357
1726	358	357
1727	318	359
1728	318	359
1729	361	360
1730	361	360
1731	361	360
1732	361	360
1733	361	360
1734	361	360
1735	363	362
1736	363	362
1737	363	362
1738	363	362
1739	363	362
1740	363	362
1741	328	364
1742	328	364
1743	328	364
1744	328	364
1745	328	364
1746	334	365
1747	334	365
1748	334	365
1749	334	365
1750	334	365
1751	334	365
1752	334	365
1753	358	366
1754	358	366
1755	358	366
1756	358	366
1757	358	366
1758	351	367
1759	351	367
1760	351	367
1761	351	367
1762	361	368
1763	361	368
1764	361	368
1765	313	369
1766	313	369
1767	313	369
1768	313	369
1769	313	369
1770	313	369
1771	326	370
1772	326	370
1773	326	370
1774	326	370
1775	344	371
1776	344	371
1777	344	371
1778	344	371
1779	344	371
1780	346	372
1781	346	372
1782	346	372
1783	342	373
1784	342	373
1785	342	373
1786	342	373
1787	342	373
1788	342	373
1789	339	374
1790	339	374
1791	339	374
1792	326	375
1793	318	376
1794	318	376
1795	318	376
1796	332	377
1797	332	377
1798	332	377
1799	311	378
1800	311	378
1801	311	378
1802	311	378
1803	311	378
1804	315	379
1805	315	379
1806	315	379
1807	315	379
1808	315	379
1809	315	379
1810	311	380
1811	311	380
1812	311	380
1813	311	380
1814	311	380
1815	311	380
1816	337	381
1817	337	381
1818	337	381
1819	337	381
1820	330	382
1821	330	382
1822	330	382
1823	330	382
1824	330	382
1825	330	382
1826	330	382
1827	334	383
1828	334	383
1829	334	383
1830	363	384
1831	363	384
1832	363	384
1833	386	385
1834	386	385
1835	386	385
1836	386	385
1837	322	387
1838	328	388
1839	328	388
1840	328	388
1841	328	388
1842	386	389
1843	386	389
1844	386	389
1845	386	389
1846	386	389
1847	386	389
1848	313	390
1849	313	390
1850	313	390
1851	313	390
1852	313	390
1853	313	390
1854	313	390
1855	392	391
1856	392	391
1857	358	393
1858	358	393
1859	346	394
1860	346	394
1861	346	394
1862	346	394
1863	326	395
1864	397	396
1865	322	398
1866	322	398
1867	320	399
