treeid	 female	 prov
216.11	 216	 12
216.12	 216	 12
216.13	 216	 12
216.14	 216	 12
216.15	 216	 12
216.16	 216	 12
216.17	 216	 12
216.18	 216	 12
216.19	 216	 12
216.20	 216	 12
216.21	 216	 12
216.22	 216	 12
216.23	 216	 12
216.24	 216	 12
216.25	 216	 12
217.1	 217	 12
217.2	 217	 12
217.3	 217	 12
217.4	 217	 12
217.5	 217	 12
217.6	 217	 12
217.7	 217	 12
217.8	 217	 12
217.9	 217	 12
217.10	 217	 12
217.11	 217	 12
217.12	 217	 12
217.13	 217	 12
217.14	 217	 12
217.15	 217	 12
217.16	 217	 12
217.17	 217	 12
217.18	 217	 12
217.19	 217	 12
217.20	 217	 12
217.21	 217	 12
217.22	 217	 12
217.23	 217	 12
217.24	 217	 12
217.25	 217	 12
218.1	 218	 12
218.2	 218	 12
218.3	 218	 12
218.4	 218	 12
218.5	 218	 12
218.6	 218	 12
218.7	 218	 12
218.8	 218	 12
218.9	 218	 12
218.10	 218	 12
218.11	 218	 12
218.12	 218	 12
218.13	 218	 12
218.14	 218	 12
218.15	 218	 12
218.16	 218	 12
218.17	 218	 12
218.18	 218	 12
218.19	 218	 12
218.20	 218	 12
218.21	 218	 12
218.22	 218	 12
218.23	 218	 12
218.24	 218	 12
218.25	 218	 12
218.26	 218	 12
218.27	 218	 12
218.28	 218	 12
218.29	 218	 12
218.30	 218	 12
219.1	 219	 12
219.2	 219	 12
219.3	 219	 12
219.4	 219	 12
219.5	 219	 12
219.6	 219	 12
219.7	 219	 12
219.8	 219	 12
219.9	 219	 12
219.10	 219	 12
219.11	 219	 12
219.12	 219	 12
219.13	 219	 12
219.14	 219	 12
219.15	 219	 12
219.16	 219	 12
219.17	 219	 12
219.18	 219	 12
219.19	 219	 12
219.20	 219	 12
219.21	 219	 12
219.22	 219	 12
219.23	 219	 12
219.24	 219	 12
224.1	 224	 12
224.2	 224	 12
224.3	 224	 12
224.4	 224	 12
224.5	 224	 12
224.6	 224	 12
224.7	 224	 12
224.8	 224	 12
224.9	 224	 12
224.10	 224	 12
224.11	 224	 12
224.12	 224	 12
224.13	 224	 12
224.14	 224	 12
224.15	 224	 12
224.16	 224	 12
224.17	 224	 12
224.18	 224	 12
224.19	 224	 12
224.20	 224	 12
224.21	 224	 12
224.22	 224	 12
224.23	 224	 12
224.24	 224	 12
224.25	 224	 12
224.26	 224	 12
224.27	 224	 12
225.1	 225	 12
225.2	 225	 12
225.3	 225	 12
225.4	 225	 12
225.5	 225	 12
225.6	 225	 12
225.7	 225	 12
225.8	 225	 12
225.9	 225	 12
225.10	 225	 12
225.11	 225	 12
225.12	 225	 12
225.13	 225	 12
225.14	 225	 12
225.15	 225	 12
225.16	 225	 12
225.17	 225	 12
225.18	 225	 12
225.19	 225	 12
225.20	 225	 12
225.21	 225	 12
225.22	 225	 12
225.23	 225	 12
225.24	 225	 12
225.25	 225	 12
225.26	 225	 12
225.27	 225	 12
226.1	 226	 12
226.2	 226	 12
226.3	 226	 12
226.4	 226	 12
226.5	 226	 12
226.6	 226	 12
226.7	 226	 12
226.8	 226	 12
226.9	 226	 12
226.10	 226	 12
226.11	 226	 12
226.12	 226	 12
226.13	 226	 12
226.14	 226	 12
226.15	 226	 12
226.16	 226	 12
226.17	 226	 12
226.18	 226	 12
226.19	 226	 12
226.20	 226	 12
226.21	 226	 12
226.22	 226	 12
226.23	 226	 12
227.1	 227	 12
227.2	 227	 12
227.3	 227	 12
227.4	 227	 12
227.5	 227	 12
227.6	 227	 12
227.7	 227	 12
227.8	 227	 12
227.9	 227	 12
227.10	 227	 12
227.11	 227	 12
227.12	 227	 12
227.13	 227	 12
227.14	 227	 12
227.15	 227	 12
227.16	 227	 12
227.17	 227	 12
227.18	 227	 12
227.19	 227	 12
227.20	 227	 12
227.21	 227	 12
231.1	 231	 13
231.2	 231	 13
231.3	 231	 13
231.4	 231	 13
231.5	 231	 13
231.6	 231	 13
231.7	 231	 13
231.8	 231	 13
231.9	 231	 13
231.10	 231	 13
231.11	 231	 13
231.12	 231	 13
231.13	 231	 13
231.14	 231	 13
231.15	 231	 13
231.16	 231	 13
231.17	 231	 13
231.18	 231	 13
231.19	 231	 13
231.20	 231	 13
231.21	 231	 13
231.22	 231	 13
231.23	 231	 13
231.24	 231	 13
232.1	 232	 13
232.2	 232	 13
232.3	 232	 13
232.4	 232	 13
232.5	 232	 13
232.6	 232	 13
232.7	 232	 13
232.8	 232	 13
232.9	 232	 13
232.10	 232	 13
232.11	 232	 13
232.12	 232	 13
232.13	 232	 13
232.14	 232	 13
232.15	 232	 13
232.16	 232	 13
232.17	 232	 13
232.18	 232	 13
232.19	 232	 13
232.20	 232	 13
232.21	 232	 13
232.22	 232	 13
232.23	 232	 13
232.24	 232	 13
232.25	 232	 13
232.26	 232	 13
232.27	 232	 13
232.28	 232	 13
232.29	 232	 13
233.1	 233	 13
233.2	 233	 13
233.3	 233	 13
233.4	 233	 13
233.5	 233	 13
233.6	 233	 13
233.7	 233	 13
233.8	 233	 13
233.9	 233	 13
233.10	 233	 13
