Year,Progeny,female,male,cross,r,DTA,PltHt
2013,2672,171_8,167_12,167_12x171_8,-1,73,NA
2013,2675,171_4,171_7,171_4x171_7,1,75,270
2013,2676,171_5,171_13,171_13x171_5,-1,72,275
2013,2677,167_13,168_2,167_13x168_2,1,NA,NA
2013,2678,166_9,164_1,164_1x166_9,-1,76,NA
2013,2680,164_4,166_11,164_4x166_11,1,76,225
2013,2681,165_7,166_10,165_7x166_10,1,73,250
2013,2683,171_8,168_2,168_2x171_8,-1,75,245
2013,2684,167_5,164_1,164_1x167_5,-1,74,245
2013,2685,170_12,167_13,167_13x170_12,-1,75,240
2013,2686,167_5,164_14,164_14x167_5,-1,77,255
2013,2688,171_6,167_1,167_1x171_6,-1,80,250
2013,2691,167_5,166_9,166_9x167_5,-1,75,275
2013,2693,170_2,170_11,170_11x170_2,-1,77,255
2013,2694,166_3,166_12,166_12x166_3,-1,70,235
2013,2695,171_4,171_7,171_4x171_7,1,76,260
2013,2696,168_8,166_10,166_10x168_8,-1,78,250
2013,2697,164_1,169_6,164_1x169_6,1,72,210
2013,2698,170_6,170_11,170_11x170_6,-1,78,255
2013,2699,170_7,171_13,170_7x171_13,1,78,240
2013,2700,169_6,164_1,164_1x169_6,-1,89,155
2013,2701,165_4,166_11,165_4x166_11,1,72,260
2013,2704,171_5,171_13,171_13x171_5,-1,71,260
2013,2705,164_8,167_8,164_8x167_8,1,74,255
2013,2706,165_6,166_12,165_6x166_12,1,80,230
2013,2708,164_8,167_8,164_8x167_8,1,75,150
2013,2710,170_6,170_2,170_2x170_6,-1,75,255
2013,2711,164_11,170_13,164_11x170_13,1,NA,NA
2013,2712,170_4,171_13,170_4x171_13,1,73,250
2013,2713,167_5,164_14,164_14x167_5,-1,78,240
2013,2714,168_8,166_8,166_8x168_8,-1,NA,NA
2013,2715,164_4,166_11,164_4x166_11,1,74,245
2013,2718,164_14,164_1,164_1x164_14,-1,76,250
2013,2719,171_4,171_7,171_4x171_7,1,74,235
2013,2720,169_6,166_9,166_9x169_6,-1,71,NA
2013,2721,170_4,169_11,169_11x170_4,-1,68,230
2013,2722,170_11,170_2,170_11x170_2,1,77,240
2013,2723,164_8,171_10,164_8x171_10,1,68,240
2013,2725,169_6,164_1,164_1x169_6,-1,77,230
2013,2726,167_3,165_4,165_4x167_3,-1,73,275
2013,2727,165_4,166_11,165_4x166_11,1,73,270
2013,2730,164_4,166_11,164_4x166_11,1,75,NA
2013,2732,171_6,170_13,170_13x171_6,-1,72,215
2013,2733,164_4,166_11,164_4x166_11,1,75,230
2013,2734,171_6,165_10,165_10x171_6,-1,75,240
2013,2736,166_10,169_7,166_10x169_7,1,75,255
2013,2737,166_3,166_12,166_12x166_3,-1,76,250
2013,2738,165_4,166_11,165_4x166_11,1,75,230
2013,2739,170_4,171_13,170_4x171_13,1,74,255
2013,2741,171_8,168_2,168_2x171_8,-1,75,265
2013,2743,164_8,169_12,164_8x169_12,1,68,215
2013,2744,171_4,171_7,171_4x171_7,1,71,230
2013,2745,164_11,165_10,164_11x165_10,1,72,245
2013,2746,171_9,170_2,170_2x171_9,-1,77,235
2013,2747,171_4,168_5,168_5x171_4,-1,71,250
2013,2748,164_14,164_1,164_1x164_14,-1,77,245
2013,2749,169_6,164_1,164_1x169_6,-1,71,205
2013,2750,165_6,166_12,165_6x166_12,1,82,160
2013,2751,169_6,164_1,164_1x169_6,-1,75,245
2013,2753,170_7,170_4,170_4x170_7,-1,85,235
2013,2755,170_4,171_13,170_4x171_13,1,70,235
2013,2758,169_6,166_9,166_9x169_6,-1,73,NA
2013,2759,164_2,166_12,164_2x166_12,1,73,NA
2013,2761,169_6,166_9,166_9x169_6,-1,NA,NA
2013,2763,171_10,164_8,164_8x171_10,-1,75,260
2013,2764,165_4,166_11,165_4x166_11,1,73,215
2013,2765,164_4,166_11,164_4x166_11,1,75,220
2013,2766,171_8,170_12,170_12x171_8,-1,75,255
2013,2767,171_4,171_7,171_4x171_7,1,74,250
2013,2769,171_11,165_5,165_5x171_11,-1,74,230
2013,2770,166_9,164_1,164_1x166_9,-1,77,240
2013,2774,165_7,166_10,165_7x166_10,1,73,250
2013,2775,164_4,167_3,164_4x167_3,1,77,NA
2013,2776,167_5,169_6,167_5x169_6,1,NA,NA
2013,2777,167_5,166_9,166_9x167_5,-1,75,NA
2013,2778,165_7,166_10,165_7x166_10,1,73,225
2013,2779,167_3,166_11,166_11x167_3,-1,80,175
2013,2780,164_8,171_10,164_8x171_10,1,68,220
2013,2781,171_4,168_5,168_5x171_4,-1,74,255
2013,2782,170_6,170_2,170_2x170_6,-1,77,235
2013,2783,164_4,167_3,164_4x167_3,1,74,250
2013,2786,167_5,164_1,164_1x167_5,-1,75,255
