treeid,female,male,prov,block,plot,height,diameter,volume
200.17,200,0,11,4,151,8.9,19.2,0.0984
200.18,200,0,11,4,151,10.1,19.4,0.114
200.19,200,0,11,5,236,9.8,20.8,0.1272
200.20,200,0,11,5,236,7.5,12.5,0.0352
200.21,200,0,11,5,236,9.5,19.8,0.1117
200.22,200,0,11,5,236,8.9,13.7,0.0501
200.23,200,0,11,1,20,13,26.9,0.2822
201.1,201,0,11,1,18,10.4,19.5,0.1186
201.2,201,0,11,1,18,9.4,17,0.0815
201.3,201,0,11,1,18,7.1,10.8,0.0248
201.4,201,0,11,2,80,11.3,26.8,0.2435
201.5,201,0,11,2,80,8.1,11.6,0.0327
201.6,201,0,11,2,80,9.3,19.5,0.1061
201.7,201,0,11,2,80,12.2,19,0.1321
201.8,201,0,11,2,80,9.8,16.2,0.0772
201.9,201,0,11,3,124,12.5,23.7,0.2106
201.10,201,0,11,3,124,8.1,16,0.0622
201.11,201,0,11,3,124,9.1,14.5,0.0574
201.12,201,0,11,3,124,7.7,11.8,0.0322
201.13,201,0,11,4,147,10.1,20.5,0.1273
201.14,201,0,11,4,147,7,10.5,0.0232
201.15,201,0,11,4,147,4,5,0.003
201.16,201,0,11,5,233,9.8,17.3,0.088
201.17,201,0,11,5,233,12.2,22.1,0.1788
201.18,201,0,11,5,233,11.1,17.8,0.1055
201.19,201,0,11,5,233,8.9,17.2,0.079
201.20,201,0,11,5,233,12.2,19.5,0.1392
201.21,201,0,11,4,147,9.6,20.2,0.1175
201.22,201,0,11,1,18,9.5,12.6,0.0452
202.1,202,0,11,1,21,9.9,17.5,0.091
202.2,202,0,11,1,21,10.3,14.5,0.065
202.3,202,0,11,1,21,11.2,16.9,0.096
202.4,202,0,11,1,21,11.8,19.3,0.1319
202.5,202,0,11,1,21,11.2,19.5,0.1278
202.6,202,0,11,2,81,9.6,13.8,0.0548
202.7,202,0,11,2,81,9.5,18.6,0.0986
202.8,202,0,11,2,81,8.8,18.1,0.0865
202.9,202,0,11,2,81,6.7,12.1,0.0294
202.10,202,0,11,3,121,10.4,16.4,0.0839
202.11,202,0,11,3,121,10.2,19,0.1105
202.12,202,0,11,3,121,9.7,12.6,0.0462
202.13,202,0,11,3,121,8.8,9.5,0.0238
202.14,202,0,11,3,121,13.2,22,0.1917
202.15,202,0,11,4,155,10.8,22.1,0.1582
202.16,202,0,11,4,155,11.1,19.6,0.1279
202.17,202,0,11,4,155,10.5,16.5,0.0858
202.18,202,0,11,4,155,10,16.1,0.0778
202.19,202,0,11,4,155,11.2,12.5,0.0525
202.20,202,0,11,4,155,10.5,19.2,0.1161
202.21,202,0,11,5,235,9.7,16.1,0.0754
202.22,202,0,11,5,235,5.9,8.1,0.0116
202.23,202,0,11,5,235,7.1,10,0.0213
202.24,202,0,11,5,235,10.9,18.2,0.1083
202.25,202,0,11,5,235,10.5,20.3,0.1298
202.26,202,0,11,3,121,5.1,6.2,0.0059
202.27,202,0,11,1,21,10.8,16.3,0.0861
203.1,203,0,11,1,25,8.8,12.7,0.0426
203.2,203,0,11,1,25,11.5,19.5,0.1312
203.3,203,0,11,1,25,10.6,21,0.1402
203.4,203,0,11,1,25,10.7,19,0.1159
203.5,203,0,11,1,25,13.3,26.5,0.2802
203.6,203,0,11,1,25,10.6,15.5,0.0764
203.7,203,0,11,2,77,9.1,12.3,0.0413
203.8,203,0,11,2,77,11.1,21,0.1469
203.9,203,0,11,2,77,12.4,23.8,0.2107
203.10,203,0,11,2,77,7.1,11.1,0.0262
203.11,203,0,11,3,123,12.5,19.5,0.1426
203.12,203,0,11,3,123,14.9,30.4,0.4131
203.13,203,0,11,3,123,12,19.3,0.1341
203.14,203,0,11,3,123,10.2,17.8,0.097
203.15,203,0,11,3,123,9.8,12.3,0.0445
203.16,203,0,11,4,154,10.1,21.9,0.1453
203.17,203,0,11,4,154,12.9,23.5,0.2137
203.18,203,0,11,4,154,10,21.5,0.1387
203.19,203,0,11,4,154,9.3,15.2,0.0645
203.20,203,0,11,4,154,9.8,22.3,0.1462
203.21,203,0,11,5,240,9.3,18,0.0904
203.22,203,0,11,5,240,7.4,11.2,0.0278
203.23,203,0,11,5,240,9.9,17.5,0.091
203.24,203,0,11,5,240,10.3,19.2,0.1139
204.1,204,0,11,1,23,12,22.7,0.1855
204.2,204,0,11,1,23,12.3,25.3,0.2362
204.3,204,0,11,1,23,13.5,27.8,0.313
204.4,204,0,11,1,23,12.3,22,0.1786
204.5,204,0,11,1,23,12.3,23.7,0.2073
204.6,204,0,11,1,23,12.2,24.2,0.2143
204.7,204,0,11,2,75,10.3,21.8,0.1468
204.8,204,0,11,2,75,6.6,9.8,0.019
204.9,204,0,11,2,75,11.7,23.9,0.2005
204.10,204,0,11,3,119,9.8,15.7,0.0725
204.11,204,0,11,3,119,10.8,21.1,0.1442
204.12,204,0,11,3,119,9.5,20.1,0.1151
204.13,204,0,11,3,119,9.8,17.8,0.0932
204.14,204,0,11,4,146,11.1,20.3,0.1372
204.15,204,0,11,4,146,9.2,13.9,0.0533
204.16,204,0,11,4,146,10.4,16.4,0.0839
204.17,204,0,11,4,146,10.8,20.1,0.1309
204.18,204,0,11,4,146,10.7,19.1,0.1171
204.19,204,0,11,4,146,8.1,14.5,0.0511
204.20,204,0,11,5,230,11.2,24.7,0.205
204.21,204,0,11,5,230,6.9,20.7,0.0887
204.22,204,0,11,5,230,6.5,7.1,0.0098
204.23,204,0,11,5,230,8.1,15.8,0.0607
204.24,204,0,11,5,230,9.1,21.5,0.1262
204.25,204,0,11,5,230,8.4,16.8,0.0711
204.26,204,0,11,2,75,14.1,25.6,0.2772
204.27,204,0,11,2,75,11.3,24.7,0.2068
205.1,205,0,11,1,22,9.8,19,0.1061
205.2,205,0,11,1,22,11.5,20.7,0.1478
205.3,205,0,11,1,22,12.8,19.3,0.143
205.4,205,0,11,1,22,9.9,14.3,0.0607
205.5,205,0,11,2,73,10.6,16.7,0.0887
205.6,205,0,11,2,73,10.3,15.1,0.0705
205.7,205,0,11,2,73,10,15.8,0.0749
205.8,205,0,11,2,73,8.2,12,0.0354
205.9,205,0,11,2,73,9.9,13.1,0.051
205.10,205,0,11,2,73,10,18.5,0.1027
205.11,205,0,11,3,128,11.4,17.2,0.1012
205.12,205,0,11,3,128,12.3,22.3,0.1835
205.13,205,0,11,3,128,9.7,15.3,0.0681
205.14,205,0,11,3,128,11.5,19.1,0.1259
205.15,205,0,11,3,128,9.5,15,0.0641
205.16,205,0,11,3,128,9,14.4,0.056
205.17,205,0,11,4,153,11.2,20.5,0.1412
205.18,205,0,11,4,153,8.5,11.2,0.032
205.19,205,0,11,4,153,9.3,15.6,0.0679
205.20,205,0,11,4,153,7.8,9.9,0.0229
